fila,subfila,columna,subcolumna,valor
Almería,2019,EXPORT,,"4202864079,36"
Cádiz,2019,EXPORT,,"6721157323,94"
Córdoba,2019,EXPORT,,"2009254970,75"
Granada,2019,EXPORT,,"1268669358,58"
Huelva,2019,EXPORT,,"7100264710,84"
Jaén,2019,EXPORT,,"1240542336,39"
Málaga,2019,EXPORT,,"2244169853,36"
Sevilla,2019,EXPORT,,"6951235436,45"
Huesca,2019,EXPORT,,"1405675456,10"
Zaragoza,2019,EXPORT,,"11610639331,59"
Teruel,2019,EXPORT,,"456280573,33"
Asturias,2019,EXPORT,,"4833107244,46"
"Balears, Illes",2019,EXPORT,,"1789749385,46"
"Palmas, Las",2019,EXPORT,,"1816009854,38"
Santa Cruz de Tenerife,2019,EXPORT,,"852018650,06"
Cantabria,2019,EXPORT,,"2613480789,66"
Ávila,2019,EXPORT,,"82443289,01"
León,2019,EXPORT,,"1280187184,21"
Burgos,2019,EXPORT,,"3031013970,92"
Palencia,2019,EXPORT,,"3267963140,67"
Salamanca,2019,EXPORT,,"671151633,91"
Segovia,2019,EXPORT,,"392826140,74"
Soria,2019,EXPORT,,"454180000,98"
Valladolid,2019,EXPORT,,"5157001853,33"
Zamora,2019,EXPORT,,"225782613,52"
Albacete,2019,EXPORT,,"1128066285,13"
Ciudad Real,2019,EXPORT,,"1974026592,22"
Cuenca,2019,EXPORT,,"529636706,71"
Guadalajara,2019,EXPORT,,"2020360642,97"
Barcelona,2019,EXPORT,,"57163221798,35"
Girona,2019,EXPORT,,"5782429300,93"
Lleida,2019,EXPORT,,"2121849593,74"
Tarragona,2019,EXPORT,,"8785964352,06"
Valencia,2019,EXPORT,,"17975021441,10"
Alicante,2019,EXPORT,,"5321047183,87"
Castellón,2019,EXPORT,,"7864124752,41"
Cáceres,2019,EXPORT,,"455992258,47"
Badajoz,2019,EXPORT,,"1633372448,31"
"Coruña, A",2019,EXPORT,,"10965518744,94"
Lugo,2019,EXPORT,,"650395764,43"
Ourense,2019,EXPORT,,"873595274,60"
Pontevedra,2019,EXPORT,,"9707153782,74"
Madrid,2019,EXPORT,,"31178909496,69"
Murcia,2019,EXPORT,,"10560808215,13"
Navarra,2019,EXPORT,,"10147324971,49"
Araba/Alava,2019,EXPORT,,"7147815788,30"
Bizkaia,2019,EXPORT,,"9718388109,13"
Gipuzkoa,2019,EXPORT,,"8522665318,26"
"Rioja, La",2019,EXPORT,,"1892178895,88"
Ceuta,2019,EXPORT,,"10651709,68"
Melilla,2019,EXPORT,,"19540198,54"
No determinado,2019,EXPORT,,"2386089964,27"
Total Nacional,2019,EXPORT,,"290089074083,07"
Almería,2019,IMPORT,,"2344316154,67"
Cádiz,2019,IMPORT,,"8541684767,24"
Córdoba,2019,IMPORT,,"1089075525,20"
Granada,2019,IMPORT,,"805921006,39"
Huelva,2019,IMPORT,,"9717718273,29"
Jaén,2019,IMPORT,,"985219862,85"
Málaga,2019,IMPORT,,"2456204833,09"
Sevilla,2019,IMPORT,,"4613058667,77"
Huesca,2019,IMPORT,,"643810028,72"
Zaragoza,2019,IMPORT,,"10610627647,26"
Teruel,2019,IMPORT,,"259052037,69"
Asturias,2019,IMPORT,,"4008046365,94"
"Balears, Illes",2019,IMPORT,,"1515622111,26"
"Palmas, Las",2019,IMPORT,,"2158882054,23"
Santa Cruz de Tenerife,2019,IMPORT,,"1419204259,56"
Cantabria,2019,IMPORT,,"2169557200,36"
Ávila,2019,IMPORT,,"179149061,10"
León,2019,IMPORT,,"708285709,28"
Burgos,2019,IMPORT,,"2271761742,71"
Palencia,2019,IMPORT,,"715330198,65"
Salamanca,2019,IMPORT,,"600642614,41"
Segovia,2019,IMPORT,,"237894369,76"
Soria,2019,IMPORT,,"332552854,93"
Valladolid,2019,IMPORT,,"7055333346,17"
Zamora,2019,IMPORT,,"134933858,82"
Albacete,2019,IMPORT,,"845535401,73"
Ciudad Real,2019,IMPORT,,"581219863,47"
Cuenca,2019,IMPORT,,"199511570,07"
Guadalajara,2019,IMPORT,,"5513380391,47"
Barcelona,2019,IMPORT,,"74091770455,35"
Girona,2019,IMPORT,,"2844734083,94"
Lleida,2019,IMPORT,,"1051796296,03"
Tarragona,2019,IMPORT,,"14431007084,57"
Valencia,2019,IMPORT,,"18665826335,31"
Alicante,2019,IMPORT,,"4566797772,24"
Castellón,2019,IMPORT,,"5188079947,81"
Cáceres,2019,IMPORT,,"469646445,97"
Badajoz,2019,IMPORT,,"919314082,21"
"Coruña, A",2019,IMPORT,,"7894501904,06"
Lugo,2019,IMPORT,,"739472037,04"
Ourense,2019,IMPORT,,"591264687,57"
Pontevedra,2019,IMPORT,,"10588880184,33"
Madrid,2019,IMPORT,,"64411534752,28"
Murcia,2019,IMPORT,,"11053998730,10"
Navarra,2019,IMPORT,,"5468377152,26"
Araba/Alava,2019,IMPORT,,"4183412237,98"
Bizkaia,2019,IMPORT,,"11689696848,72"
Gipuzkoa,2019,IMPORT,,"4243631130,69"
"Rioja, La",2019,IMPORT,,"1429437038,08"
Ceuta,2019,IMPORT,,"227024654,41"
Melilla,2019,IMPORT,,"94498957,83"
No determinado,2019,IMPORT,,"2361580984,86"
Total Nacional,2019,IMPORT,,"322068688113,67"
